# grafo generado automáticamente para TP3
0,1
0,2
0,3
0,4
0,5
0,29
0,44
0,58
1,2
1,3
1,4
1,5
1,19
2,3
2,4
2,5
2,8
2,13
3,4
3,5
4,5
4,36
5,35
5,49
6,7
6,8
6,9
6,10
6,11
6,52
7,8
7,9
7,10
7,11
8,9
8,10
8,11
8,28
9,10
9,11
9,15
9,37
9,46
10,11
10,33
11,18
11,56
12,13
12,14
12,15
12,16
12,17
12,59
13,14
13,15
13,16
13,17
13,23
14,15
14,16
14,17
15,16
15,17
15,33
16,17
16,29
16,39
17,47
17,51
18,19
18,20
18,21
18,22
18,23
19,20
19,21
19,22
19,23
20,21
20,22
20,23
21,22
21,23
21,31
21,38
21,57
22,23
22,26
22,53
23,43
24,25
24,26
24,27
24,28
24,29
24,34
25,26
25,27
25,28
25,29
26,27
26,28
26,29
27,28
27,29
27,57
28,29
28,36
28,50
29,44
30,31
30,32
30,33
30,34
30,35
31,32
31,33
31,34
31,35
31,59
32,33
32,34
32,35
32,42
33,34
33,35
34,35
34,38
34,52
36,37
36,38
36,39
36,40
36,41
37,38
37,39
37,40
37,41
38,39
38,40
38,41
38,52
39,40
39,41
39,47
39,56
40,41
42,43
42,44
42,45
42,46
42,47
43,44
43,45
43,46
43,47
44,45
44,46
44,47
44,52
45,46
45,47
46,47
47,57
48,49
48,50
48,51
48,52
48,53
48,57
49,50
49,51
49,52
49,53
50,51
50,52
50,53
51,52
51,53
52,53
54,55
54,56
54,57
54,58
54,59
55,56
55,57
55,58
55,59
56,57
56,58
56,59
57,58
57,59
58,59
